"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
21000,3823.4118732967654,284.14578049764486,0.7909799422257798
22000,3710.27860678029,267.5612937862743,0.7990391313198529
23000,3838.488495409343,280.981266336611,0.8171125632709617
24000,3687.1266335860873,289.27377172529884,0.850373640523096
25000,3618.9841288980915,281.31965998784443,0.8215399897672233
26000,3736.103287120959,277.8440655452221,0.8501026797128615
27000,3804.419856909837,280.88883539215294,0.8136853087826424
28000,3530.0112849246307,278.12694899629315,0.8544670501488423
29000,3651.0754699665813,285.15410473094056,0.8121161505506239
30000,3797.2131215432,289.0352243937164,0.8103466136753661
31000,3840.7844004310937,275.3733576599282,0.8105064524033754
32000,3828.2374606346766,276.71297701708147,0.8117420415003739
33000,3813.421920506744,285.3913525911445,0.8372145111706225
34000,3875.014241838271,287.6639476836304,0.8193102990673772
35000,3631.919469409808,274.49235696959647,0.8281535029582533
36000,3770.8743154370495,273.2487417237722,0.8302074538822756
37000,3660.018870271422,274.25802720257246,0.8244799969030101
38000,3951.7834885246284,264.38308558006094,0.8046681237182215
39000,3794.2418505424557,290.51102958501656,0.8290622628760383
40000,3766.645877438228,278.42030327435043,0.8323393431685612
41000,3760.9850512873054,283.66089834180565,0.8088013707183608
42000,3825.2567544302838,284.08012189864655,0.8065508578863405
43000,3862.467173299925,273.92072720224513,0.8174188012314737
44000,3678.0153907938766,270.35791183279497,0.8475586107140289
45000,3641.952379419814,276.8742152793595,0.8559807264115179
46000,3662.6236825032465,276.3668280870464,0.8470369419444809
47000,3444.3749871293203,279.79484012531583,0.8502610975069281
48000,3493.866008145693,285.1932316513885,0.8544225800658942
49000,3863.074851925736,271.57716003138074,0.8418750054466263
50000,3603.0497634868934,278.6308628464463,0.8262397637573816
51000,3806.425857366854,274.13132030217105,0.8060951226264655
52000,3734.486158197371,274.9448455122514,0.8088066956656351
53000,3936.3838053524196,275.34506607990545,0.8254220929330532
54000,3955.745651515699,281.1924141167423,0.8016124024017485
55000,3939.2310083465236,276.1322939322477,0.7998917186063784
56000,3863.5141767015175,284.6961867641005,0.8078069303627766
57000,3751.807226967043,283.2469580526965,0.83244859270101
58000,3910.3434752147878,278.18997262129335,0.8069883819618181
59000,3864.7375620024122,284.10501206737746,0.8104324801018755
60000,3799.3375242775655,279.3386098362228,0.7960013747369163
61000,3709.4771963437925,277.6153085358684,0.8140742029875134
62000,3682.6700639969604,284.89502519107265,0.8210582226965454
63000,3758.4698196869285,279.12259777372554,0.8118776308020339
64000,3839.333172614597,278.63157903140086,0.8020264548240701
65000,3834.300283842802,276.4161686519596,0.8232622217908465
66000,3900.2838294355042,275.16713048591225,0.7952945776536732
67000,3511.2984321359545,278.48436921116803,0.8103136875075614
68000,3857.1835953277423,269.28721607016433,0.8444906817510451
69000,3745.500552138994,269.44973119234675,0.8081937790360002
70000,3762.631140194746,273.82949438706567,0.800888866302931
